杜威 Dewey
格里德利 GL_SaraNo1
莫里 Maury
弗莱彻 Fletcher
查尔斯·奥斯本 L.B.Charles
撒切尔 L.B.Thatcher
奥利克 L.B.Aulick
斯彭斯 L.B.Spence
拉菲 Lafite.82
西姆斯 Sims
哈曼 DD_Hammann
埃尔德里奇 EldridgeCoil
贝利 Rabbit.Bailey
拉德福特 DD.Radford
杰金斯 DD.Jenkins
尼古拉斯 DD.Nick
贝奇 USSBACHE
霍比 Hobby
斯坦利 L.B.Stanly
库珀 BlackCat
艾伦·萨姆纳 A.M.Sumner
莫里森 Bear-MKII
英格拉罕 Ingraham
布里斯托尔 Bristol
布鲁克林 Brooklyn
菲尼克斯 PhoenixBurn
海伦娜 HelenaSG
亚特兰大 Atlanta
朱诺 Juneau
圣地亚哥 NO1Sandiego!
克利夫兰 Cleveland☆Knight
哥伦比亚 Cleve-FC.3
里士满 Richmond
火奴鲁鲁 Honolulu
圣路易斯 Lucky Lou
蒙彼利埃 Cleve-FC.1
丹佛 Cleve-FC.2
孟菲斯 Memphis
康克德 Sweet.Concord
伯明翰 Cleve-FC.4
比洛克西 Biloxi
里诺 HerosAides
马布尔黑德 Marblehead
博伊西 USSBOISE
波特兰 INDI_LOVE
印第安纳波利斯 Indianapolis
阿斯托利亚 Nasty.Asty
昆西 Quincy
文森斯 Vincennes
威奇塔 G.Wichita
明尼阿波利斯 Minnie.Hunter
旧金山 HappyEveryDay!
巴尔的摩 Justice_B
布莱默顿 Bremerton
内华达 Nevada
俄克拉荷马 Oklahoma
宾夕法尼亚 Pennsylvania
亚利桑那 Arizona
南达科他 SoDakX
新泽西 BlackDragon
马萨诸塞 2700P.Justice
长岛 L.I.
卡萨布兰卡 Casablanca
萨拉托加 SisterSara
约克城 YorkTown
企业 Enterprise
大黄蜂 CarVesGAL6
埃塞克斯 EssexG1
无畏 The_Fighting_I
提康德罗加 Ticonderoga
独立 Independence
普林斯顿 Princeton
香格里拉 Shangri-La
大青花鱼 G_Albacore
棘鳍 Cavalla
射水鱼 CharmArcher
女灶神 Vestal
佐治亚 GA@ColaLove
女将 ThornyA
小天鹅 Cygnet
命运女神 Fortune
格伦维尔 Grenville
萤火虫 Glowworm@Attack
标枪 Javelin☆
天后 Juno
吸血鬼 Vampire 
丘比特 Jupiter
爱斯基摩人 Eskimo
伊卡洛斯 Icarus_Wing
贾维斯 Jervis
黛朵 Dido_Doll
南安普顿 MINAMIpton
谢菲尔德 ShiningS
爱丁堡 ☆ Royal Maid ☆
贝尔法斯特 Belfast_inService
欧若拉 AuroraRose
牙买加 TheFightingJ
小贝法 Royal Maid Little
纽卡斯尔 Newcastle
天狼星 forMaster_Sirius
黑太子 White Princess
格拉斯哥 Glasgow
赫敏 Hermione
佩内洛珀 Penelope
卡律布狄斯 Charybdis
司战女神 Bellona
进取 RoyalMaid.E
肯特 Kent
萨福克 Suffolk
胡德 Mighty_Hood
伊丽莎白女王 QueenEliz
厌战 Warspite
英王乔治五世 King.George.V
威尔士亲王 TywysogWales
约克公爵 D_O_Y
豪 Howe_Cookies
英勇 Cmdr_Valiant
复仇 Revenge
前卫 Vanguard
竞技神 Hermes@Dual
独角兽 UnicornI72
半人马 CenAlpha
英仙座 Per
鹰 Eagle
皇家方舟 ArkRoyal_Defense
光辉 Illustrious
胜利 Victorious
可畏 Formidable
光荣 Glorius
不挠 Indomitable
阿贝克隆比 Abercrombie
海王星 Neptune
君主 Monarch
柴郡 CaitSith
德雷克 Drake
吹雪 bukkitoku1
白雪 Shirayuki 
深雪 Miyuki 
绫波 AYANAMIN
晓 NINJA-AKATSUKI
响 HibikiChannel
雷 RAI
电 DEN
白露 Shiratsuyu
夕立 NikuSuki
时雨 LuckyShigure
雪风 SnowStorm
阳炎 Kagerō
不知火 KoubaiStaff_unofficial
若叶 NutLove
黑潮 Nin_Kuroshio
岛风 Hayaizo
睦月 Mutsuki
如月 Kisaragi
卯月 Uduki
海风 Umikaze
山风 Yamakaze
新月 Niizuki
春月 HARUTSUKI
宵月 Yoizuki
朝潮 Asashio
大潮 Ooshio
满潮 Michishio 
荒潮 Arashio
浦波 Uranami
霞.改 fuwarin1118
花月 FlowerMoon
长波 Naganami
凉月 Puuta
夕张 Kagakubu.org
长良 Nagara_CA
五十铃 Isuzuzu
由良 Yura
鬼怒 RageofONI
阿武隈 AbuAbu
最上 Mogami
三隈 Mikuma
川内 Zendai
神通 Jintuu
那珂 Naka
阿贺野 FinalOTU
能代 Nshiro
酒匂 Sakawa 
青叶 REPORTER_AOBA
筑摩 ChiKUMA
妙高 Myoko_CA
足柄 Ashigara
羽黑 Haguro 
高雄 Takao
爱宕 Atago
摩耶 Maya
鸟海 ToriUmi
铃谷 Suzu✩
熊野 Kuma✩
金刚 BarrowYoko
比叡 Hiei
榛名 Haruna
雾岛 KirinnKS
天城 Amagi
扶桑 Fusō
山城 Yamashiro
伊势 Isei
日向 Hyūga
长门 SakuraCombinedFleet
土佐 Tosa
武藏 Musashi
三笠 Mikasa
纪伊 Kii
骏河 S8u6r6ug8A
祥凤 SHOHO
龙骧 Ryūjō
龙凤 PhoenixWhale
千岁 Chitose
千代田 Chiyoda
赤城 Ootori_Shikikan
加贺 Ran_mew
苍龙 Ino·Shika·Cho
飞龙 Gokou
翔鹤 KADEKURU
瑞鹤 Zuikaku
大凤 OutrangeTH
信浓 Shinano
葛城 Misato
伊19 I19_sensuisenntai
伊26 I26_sensuisenntai
伊58 I58_sensuisenntai
伊25 I25_sensuisenntai
明石 akashi_TUUHAN
樫野 Kashino
伊吹 Ibuki
出云 Izumo
北风 Kitakaze
吾妻 AzumaB65
白龙 Hakuryū
Z1 L.Maaß
Z2 Zerstörer2
Z23 Zerstörer.23
Z24 GreatDevil24
Z28 Zerstörer28
Z35 funf♡3536
Z36 Zech✛3536
Z46 viersech
莱比锡 Leipzig 
纽伦堡 Nürnberg
马格德堡 Magdeburg
埃姆登 Emden 
埃尔宾 Elbing 
希佩尔海军上将 R-Guitarist
欧根亲王 P.Eugen
德意志 SPEE_FIGHT
斯佩伯爵海军上将 GRAFSPEE
海因里希亲王 Eisen_Fight
阿达尔伯特亲王 PrinzAdalbert
约克 Yorck 
沙恩霍斯特 Scharnhorst
格奈森瑙 Gneisenau
塞德利茨 Seydlitz 
吕佐夫 Lützow 
俾斯麦 Bismarck
提尔比茨 Tirpitz
乌尔里希·冯·胡滕 U.V.Hutten
图林根 Thüringen 
威悉 Weser
易北 Elbe
齐柏林伯爵 TrägerZeppelin
彼得·史特拉塞 FlugzeugträgerB 
U-81 U-81
U-47 UBoat47
U-556 U.B.556
U-73 U-73
U-522 U-522
U-110 HAI_110 
U-96 U.B.96
U-37 UBoat37
U-1206 U.B.1206
罗恩 RoonDESU
腓特烈大帝 SymphonicStigma
美因茨 Mainz
奥丁 Odin
埃吉尔 Aegir
奥古斯特·冯·帕塞瓦尔 August.V.Parseval
鞍山 Anshan1
抚顺 Fushun2
长春 ChangChun
太原 TaiYuan
逸仙 YIXIAN
宁海 NINGHAI
平海 PINGHAI
应瑞 Yingrui
肇和 Zhaohe
海天 HaiTien
海圻 HaiChi
镇海 ChenHai
龙骑兵 S_Carabiniere
文琴佐·焦贝蒂 G.B
西北风 Maestrale
西南风 Libeccio
尼科洛索·达雷科  Captain.Da.Recco
庞培·马格诺 PompeyTheGreat
阿尔弗雷多·奥里亚尼 Alfredo 
埃曼努埃尔·佩萨格诺 Emanuele 
阿布鲁齐公爵 C_Abruzzi
朱塞佩·加里波第 Giuseppe 
特伦托 Da Trento
扎拉 Zara
波拉 Pola
的里雅斯特 Trieste
博尔扎诺 Bolzano 
维托里奥·维内托 VV_Veneto
利托里奥 VV_Littorio
罗马 Roma 
天鹰 Aquila
帝国 orepmI
托里拆利  Torricelli
莱昂纳多·达·芬奇 DaVinci 
威严 Grozny
明斯克 Minsk
塔什干 Ташкент
神速 cнежок
雷鸣 ремящий
洪亮 Громкий
灵敏 Сообразительный
基辅 Киев
阿芙乐尔 Aurora1900
水星纪念 Pamiat' Merkuria
恰巴耶夫 Chapaev
基洛夫 Киров
摩尔曼斯克 Мурманск
塔林 Tallinn
甘古特 Gangut
苏维埃贝拉罗斯 Proj23.Bel
苏维埃罗西亚 Proj23.Ros
阿尔汉格尔斯克 Архангельск
伏尔加 Волга
喀琅施塔得 Кронштадт
凯旋 Le.Triomphant
福尔班 Forbin 
鲁莽 L.Téméraire
倔强 L.Opiniâtre
可怖 Le Terrible
马耶·布雷泽 Brézé
埃米尔·贝尔汀 DancerEmile
圣女贞德 Jeanne d'Arc
黎塞留 Richelieu
贝亚恩 Béarn
絮库夫 P.P.O
路易九世 S.Louis
香槟 Champagne
勒马尔 LeMars 
塔尔图 Tartu
沃克兰 Vauquelin
恶毒 VivaLaze
不屈 L'Indomptable
拉·加利索尼埃 Inquisition_G
阿尔及利亚 Algérie
敦刻尔克 gateaumistress
让·巴尔 PirateKnight
霞飞 Joffre
加斯科涅 GascogneT8
玛莉萝丝 Marie
穗香 Honoka
霞 Kasumi
海咲 Misaki
凪咲 Nagisa
女天狗 Nyotengu
莫妮卡 Monica
天海春香 Haruka_Amami
如月千早 Chihaya_Kisaragi
水濑伊织 Iori_Minase
三浦 梓 Azusa_Miura
秋月律子 Ritsuko_Akizuki
双海亚美 Ami_Futami
双海真美 Mami_Futami
宝多六花  Rikka
新条茜  Akane
莲 Hass
奈美子 Namiko
南梦芽 Yume
飞鸟川千濑 Chise
貉 Mujina
