凛冬王冠-后篇|| ||CHAPTER EX||E.X.
D1-北方的访客|～Visitor~
|掉落驱逐=天后、奥利克、富特、斯彭斯、小猎兔犬、大斗犬
|掉落轻巡=牙买加、阿基里斯、阿贾克斯、阿瑞托莎、加拉蒂亚、奥马哈、罗利、利安得、柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡=彭萨科拉、盐湖城
|掉落战巡
|掉落战列
|掉落航母
|掉落轻母=博格、竞技神
|掉落重炮=黑暗界、恐怖
|掉落维修
|掉落潜艇
D2-“钨”行动|~Operate~
|掉落驱逐=火枪手、天后、奥利克、富特、斯彭斯、小猎兔犬、大斗犬
|掉落轻巡=斐济、阿基里斯、阿贾克斯、阿瑞托莎、加拉蒂亚、奥马哈、罗利、利安得、柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡=彭萨科拉、盐湖城
|掉落战巡
|掉落战列
|掉落航母
|掉落轻母=独角兽、博格、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
D3-凛冬王冠|～Crown~
|掉落驱逐=火枪手、天后、奥利克、富特、斯彭斯、小猎兔犬、大斗犬
|掉落轻巡=牙买加、阿基里斯、阿贾克斯、阿瑞托莎、加拉蒂亚、奥马哈、罗利、利安得、柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡=彭萨科拉、盐湖城
|掉落战巡
|掉落战列=约克公爵、纳尔逊
|掉落航母
|掉落轻母=博格、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
