墨染的钢铁之花·上篇|| ||CHAPTER EX||E.X.
C1-重归故里
|掉落驱逐=查尔斯·奥斯本、萤火虫、格里德利、弗莱彻、女将、命运女神、天后、卡辛、唐斯、克雷文、麦考尔、小猎兔犬、大斗犬、彗星、新月、小天鹅
|掉落轻巡
|掉落重巡
|掉落战巡
|掉落战列=内华达、俄克拉荷马
|掉落航母
|掉落轻母=博格、兰利、突击者、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
C2-异变
|掉落驱逐=时雨、Z1、格里德利、弗莱彻、女将、命运女神、天后、卡辛、唐斯、克雷文、麦考尔、小猎兔犬、大斗犬、彗星、新月、小天鹅
|掉落轻巡
|掉落重巡
|掉落战巡
|掉落战列=内华达、俄克拉荷马
|掉落航母
|掉落轻母=博格、兰利、突击者、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
C3-枯竭的信仰
|掉落驱逐=格里德利、弗莱彻、女将、命运女神、天后、卡辛、唐斯、克雷文、麦考尔、小猎兔犬、大斗犬、彗星、新月、小天鹅
|掉落轻巡
|掉落重巡=印第安纳波利斯
|掉落战巡=声望
|掉落战列=内华达、俄克拉荷马
|掉落航母
|掉落轻母=博格、兰利、突击者、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
C4-守护者
|掉落驱逐=大潮、奥利克、富特、斯彭斯、小猎兔犬、大斗犬、狐提
|掉落轻巡=阿瑞托莎、加拉蒂亚、奥马哈、罗利、利安得
|掉落重巡=约克
|掉落战巡=反击
|掉落战列=田纳西、加利福尼亚、内华达、俄克拉荷马
|掉落航母
|掉落轻母=博格、兰利、突击者、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
