峡湾间的星辰|| ||CHAPTER SP||S.P.
SP0-铁血的行军
|掉落驱逐
|掉落轻巡
|掉落重巡
|掉落战巡
|掉落战列
|掉落航母
|掉落轻母
|掉落重炮
|掉落维修
|掉落潜艇
SP1-风雪中的侦查
|掉落驱逐=查尔斯·奥斯本、时雨、弗莱彻、撒切尔、女将、命运女神、天后、卡辛、唐斯、克雷文、麦考尔、奥利克、富特、斯彭斯、小猎兔犬、大斗犬、彗星、新月、小天鹅、狐提
|掉落轻巡=奥马哈、罗利
|掉落重巡
|掉落战巡
|掉落战列
|掉落航母
|掉落轻母
|掉落重炮
|掉落维修
|掉落潜艇
SP2-峡湾中的闪击
|掉落驱逐=萤火虫、弗莱彻、撒切尔、女将、命运女神、天后、卡辛、唐斯、克雷文、麦考尔、奥利克、富特、斯彭斯、小猎兔犬、大斗犬、彗星、新月、小天鹅、狐提
|掉落轻巡=奥马哈、罗利
|掉落重巡
|掉落战巡
|掉落战列=伊丽莎白女王
|掉落航母
|掉落轻母
|掉落重炮
|掉落维修
|掉落潜艇
SP3-极北的星辰
|掉落驱逐=Z2、Z1、弗莱彻、撒切尔、女将、命运女神、天后、卡辛、唐斯、克雷文、麦考尔、奥利克、富特、斯彭斯、小猎兔犬、大斗犬、彗星、新月、小天鹅、狐提
|掉落轻巡=奥马哈、罗利
|掉落重巡
|掉落战巡
|掉落战列
|掉落航母
|掉落轻母
|掉落重炮
|掉落维修
|掉落潜艇
