杰诺瓦的焰火|| ||CHAPTER SP||S.P.
SP1-惩戒行动 
|掉落驱逐=命运女神、天后、卡辛、唐斯、克雷文、奥利克、富特、小猎兔犬、大斗犬、彗星、狐提
|掉落轻巡=奥马哈、罗利
|掉落重巡=印第安纳波利斯、休斯敦、芝加哥、北安普敦、彭萨科拉
|掉落战巡=反击
|掉落战列=内华达
|掉落航母
|掉落轻母=兰利、突击者
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
SP2-先发制人 
|掉落驱逐=倔强、命运女神、天后、卡辛、唐斯、克雷文、奥利克、富特、小猎兔犬、大斗犬、彗星、狐提
|掉落轻巡=奥马哈、罗利
|掉落重巡=约克、芝加哥、北安普敦、彭萨科拉
|掉落战巡=反击
|掉落战列=内华达
|掉落航母
|掉落轻母=兰利、突击者
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
SP3-猎人与猎物 
|掉落驱逐=鲁莽、命运女神、天后、卡辛、唐斯、克雷文、奥利克、富特、小猎兔犬、大斗犬、彗星、狐提
|掉落轻巡=奥马哈、罗利
|掉落重巡=芝加哥、北安普敦、彭萨科拉
|掉落战巡=反击
|掉落战列=伊丽莎白女王、内华达
|掉落航母
|掉落轻母=兰利、突击者
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
