激奏的Polaris|| ||CHAPTER EX||S.P.
SP1-暖场的Opening
|掉落驱逐=标枪、拉菲、撒切尔、弗莱彻、格里德利、小天鹅、新月、彗星、大斗犬、小猎兔犬、斯彭斯、富特、奥利克、麦考尔、克雷文、唐斯、卡辛
|掉落轻巡=朱诺、亚特兰大、罗利、奥马哈
|掉落重巡
|掉落战巡
|掉落战列
|掉落航母
|掉落轻母=博格
|掉落重炮
|掉落维修
|掉落潜艇
SP2-热唱的Heatup
|掉落驱逐=Z23、萤火虫、阳炎、白露、命运女神、不知火、狐提、小天鹅、新月、彗星、大斗犬、小猎兔犬
|掉落轻巡=阿贾克斯、阿基里斯、科隆、卡尔斯鲁厄、柯尼斯堡、阿武隈、利安得
|掉落重巡=加古、古鹰
|掉落战巡
|掉落战列
|掉落航母
|掉落轻母=竞技神
|掉落重炮
|掉落维修
|掉落潜艇
SP3-白热的CounterHeart
|掉落驱逐=Z1、不知火、狐提、小天鹅、新月、彗星、大斗犬、小猎兔犬
|掉落轻巡=科隆、卡尔斯鲁厄、柯尼斯堡、阿武隈、利安得
|掉落重巡=印第安纳波利斯、那智、妙高、肯特、什罗普郡、加古、古鹰
|掉落战巡
|掉落战列
|掉落航母
|掉落轻母=竞技神
|掉落重炮
|掉落维修
|掉落潜艇
SP4-狂热的SecondHalf
|掉落驱逐=时雨、查尔斯·奥斯本、哈曼、西姆斯、小天鹅、新月、彗星、大斗犬、小猎兔犬、斯彭斯、富特、奥利克、麦考尔、克雷文、唐斯、卡辛
|掉落轻巡=菲尼克斯、布鲁克林、罗利、奥马哈
|掉落重巡=北安普敦
|掉落战巡
|掉落战列
|掉落航母
|掉落轻母=博格
|掉落重炮
|掉落维修
|掉落潜艇
SP5-激奏的LastSong
|掉落驱逐=不知火、狐提、小天鹅、新月、彗星、大斗犬、小猎兔犬
|掉落轻巡=科隆、卡尔斯鲁厄、柯尼斯堡、阿武隈、利安得
|掉落重巡=诺福克、萨福克、加古、古鹰
|掉落战巡=反击
|掉落战列=纳尔逊、亚利桑那、山城
|掉落航母
|掉落轻母=竞技神
|掉落重炮
|掉落维修
|掉落潜艇
