苍红的回响·上篇|| ||CHAPTER EX||E.X.
C1-智和勇的序盘
|掉落驱逐=查尔斯·奥斯本、Z1、弗莱彻、卡辛、唐斯、克雷文、麦考尔、彗星、新月、小天鹅、狐提
|掉落轻巡=阿基里斯、阿贾克斯、柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡
|掉落战巡
|掉落战列=田纳西、加利福尼亚、内华达、俄克拉荷马
|掉落航母
|掉落轻母=兰利、突击者
|掉落重炮
|掉落维修
|掉落潜艇
C2-将上桂的王手
|掉落驱逐=弗莱彻、卡辛、唐斯、克雷文、麦考尔、彗星、新月、小天鹅、狐提
|掉落轻巡=海伦娜、克利夫兰、阿基里斯、阿贾克斯、柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡
|掉落战巡
|掉落战列=田纳西、加利福尼亚、内华达、俄克拉荷马
|掉落航母
|掉落轻母=兰利、突击者
|掉落重炮
|掉落维修
|掉落潜艇
C3-王与玉的交锋
|掉落驱逐=旗风、弗莱彻、卡辛、唐斯、克雷文、麦考尔、彗星、新月、小天鹅、狐提
|掉落轻巡=阿基里斯、阿贾克斯、柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡
|掉落战巡
|掉落战列=田纳西、加利福尼亚、内华达、俄克拉荷马
|掉落航母
|掉落轻母=兰利、突击者
|掉落重炮=黑暗界、恐怖
|掉落维修
|掉落潜艇
