铁血、音符与誓言·上篇|| ||CHAPTER EX||E.X.
C1-第一乐章: 来世之人| |V  O  N     D  E  N     H  I  N  T  E  R  W  E  L  T  L  E  R  N
|掉落驱逐=萤火虫、天后、奥利克、富特、斯彭斯、小猎兔犬、大斗犬、彗星、新月
|掉落轻巡=亚特兰大、朱诺、奥马哈、罗利、利安得、柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡=伦敦、萨福克、诺福克、古鹰、加古
|掉落战巡
|掉落战列
|掉落航母
|掉落轻母
|掉落重炮
|掉落维修
|掉落潜艇
C2-第二乐章: 极度的渴望| |V  O  N     D  E  R     G  R  O  ß  E  N     S  E  H  N  S  U  C  H  T
|掉落驱逐=天后、奥利克、富特、斯彭斯、小猎兔犬、大斗犬、彗星、新月
|掉落轻巡=亚特兰大、朱诺、奥马哈、罗利、利安得、柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡=约克、萨福克、诺福克、古鹰、加古
|掉落战巡=声望
|掉落战列
|掉落航母
|掉落轻母
|掉落重炮
|掉落维修
|掉落潜艇
C3-第三乐章: 欢乐与激情| |V O N    D E N    F R E U D E N    U N D    L E I D E N S C H A F T E N
|掉落驱逐=天后、奥利克、富特、斯彭斯、小猎兔犬、大斗犬、彗星、新月
|掉落轻巡=亚特兰大、朱诺、奥马哈、罗利、利安得、柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡=萨福克、诺福克、古鹰、加古
|掉落战巡
|掉落战列=伊丽莎白女王
|掉落航母
|掉落轻母
|掉落重炮
|掉落维修
|掉落潜艇
