微层混合·上篇|| ||CHAPTER EX||E.X.
A1-增援
|掉落驱逐=Z1、查尔斯·奥斯本、弗莱彻、格里德利、卡辛、唐斯、克雷文、麦考尔、小猎兔犬、大斗犬
|掉落轻巡=朱诺、奥马哈、利安得、柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡=芝加哥、彭萨科拉、盐湖城
|掉落战巡
|掉落战列=内华达、俄克拉荷马
|掉落航母
|掉落轻母
|掉落重炮
|掉落维修
|掉落潜艇
A2-迷雾之下
|掉落驱逐=弗莱彻、格里德利、卡辛、唐斯、克雷文、麦考尔、小猎兔犬、大斗犬
|掉落轻巡=朱诺、奥马哈、利安得、柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡=伦敦、印第安纳波利斯、芝加哥、彭萨科拉、盐湖城
|掉落战巡
|掉落战列=内华达、俄克拉荷马
|掉落航母
|掉落轻母
|掉落重炮
|掉落维修
|掉落潜艇
A3-来自深渊
|掉落驱逐=萤火虫、弗莱彻、格里德利、卡辛、唐斯、克雷文、麦考尔、小猎兔犬、大斗犬
|掉落轻巡=克利夫兰、朱诺、奥马哈、利安得、柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡=芝加哥、彭萨科拉、盐湖城
|掉落战巡
|掉落战列=内华达、俄克拉荷马
|掉落航母
|掉落轻母
|掉落重炮
|掉落维修
|掉落潜艇
