决战中途岛
3–1-决战中途岛！
|掉落驱逐=拉菲、标枪、Z23、克雷文、麦考尔、奥利克、富特、斯彭斯、小猎兔犬、大斗犬
|掉落轻巡=阿瑞托莎、加拉蒂亚、奥马哈、罗利、利安得
|掉落重巡=休斯敦、北安普敦、芝加哥、彭萨科拉
|掉落战巡
|掉落战列=内华达、俄克拉荷马
|掉落航母=苍龙、飞龙
|掉落轻母=长岛、兰利、突击者
|掉落重炮
|掉落维修
|掉落潜艇
3–2-命运的五分钟
|掉落驱逐=拉菲、标枪、Z23、查尔斯·奥斯本、命运女神、西姆斯、哈曼、卡辛、唐斯、克雷文、麦考尔、狐提
|掉落轻巡=阿瑞托莎、加拉蒂亚、奥马哈、罗利、利安得、柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡
|掉落战巡
|掉落战列=内华达、俄克拉荷马
|掉落航母=苍龙、飞龙
|掉落轻母=兰利、突击者
|掉落重炮
|掉落维修
|掉落潜艇
3–3-背水一战
|掉落驱逐=拉菲、标枪、Z23、白露、阳炎、命运女神、卡辛、唐斯、奥利克、富特、斯彭斯、小猎兔犬、大斗犬
|掉落轻巡=阿基里斯、阿贾克斯、奥马哈、罗利
|掉落重巡=印第安纳波利斯、古鹰、加古
|掉落战巡
|掉落战列=内华达、俄克拉荷马
|掉落航母=苍龙、飞龙
|掉落轻母=兰利、突击者
|掉落重炮
|掉落维修
|掉落潜艇
3–4-最后的反击！
|掉落驱逐=拉菲、标枪、Z23、天后、弗莱彻、撒切尔、阳炎、卡辛、唐斯、奥利克、富特、斯彭斯、小猎兔犬、大斗犬、狐提
|掉落轻巡=柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡=休斯敦
|掉落战巡
|掉落战列=内华达、俄克拉荷马
|掉落航母=约克城
|掉落轻母=兰利、突击者
|掉落重炮
|掉落维修
|掉落潜艇
SOS-海域救援
|掉落驱逐=拉菲、标枪、Z23、天后、弗莱彻、撒切尔、阳炎、卡辛、唐斯、奥利克、富特、斯彭斯、小猎兔犬、大斗犬、狐提
|掉落轻巡=柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡=休斯敦
|掉落战巡
|掉落战列=内华达、俄克拉荷马
|掉落航母=约克城
|掉落轻母=兰利、突击者
|掉落重炮
|掉落维修
|掉落潜艇
