库拉湾海战
9–1-不祥之夜
|掉落驱逐=查尔斯·奥斯本、拉菲、标枪、Z23、弗莱彻、撒切尔、奥利克、富特、斯彭斯、小猎兔犬、大斗犬
|掉落轻巡=阿基里斯、阿贾克斯、奥马哈、罗利、里士满、利安得
|掉落重巡
|掉落战巡
|掉落战列=亚利桑那、宾夕法尼亚、内华达、俄克拉荷马
|掉落航母
|掉落轻母=博格、兰利、突击者、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
9–2-拦截作战
|掉落驱逐=拉菲、标枪、Z23、拉德福特、杰金斯、阳炎、奥利克、富特、斯彭斯、小猎兔犬、大斗犬
|掉落轻巡=阿瑞托莎、加拉蒂亚、奥马哈、罗利、里士满、利安得
|掉落重巡
|掉落战巡
|掉落战列=内华达、俄克拉荷马
|掉落航母
|掉落轻母=博格、兰利、突击者、竞技神
|掉落重炮=黑暗界、恐怖
|掉落维修
|掉落潜艇
9–3-黑夜中的光芒
|掉落驱逐=尼古拉斯、萤火虫、时雨、拉菲、标枪、Z23、女将、命运女神、天后、奥利克、富特、斯彭斯、小猎兔犬、大斗犬
|掉落轻巡=亚特兰大、朱诺、奥马哈、罗利、里士满、利安得
|掉落重巡
|掉落战巡
|掉落战列=内华达、俄克拉荷马
|掉落航母
|掉落轻母=博格、兰利、突击者、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
9–4-海伦娜
|掉落驱逐=新月、Z1、拉菲、标枪、Z23、白露、阳炎、奥利克、富特、斯彭斯、小猎兔犬、大斗犬
|掉落轻巡=海伦娜、布鲁克林、菲尼克斯、奥马哈、罗利、里士满、利安得
|掉落重巡
|掉落战巡
|掉落战列=内华达、俄克拉荷马
|掉落航母
|掉落轻母=长岛、博格、兰利、突击者、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
SOS-海域救援
|掉落驱逐=新月、Z1、拉菲、标枪、Z23、白露、阳炎、奥利克、富特、斯彭斯、小猎兔犬、大斗犬
|掉落轻巡=海伦娜、布鲁克林、菲尼克斯、奥马哈、罗利、里士满、利安得
|掉落重巡
|掉落战巡
|掉落战列=内华达、俄克拉荷马
|掉落航母
|掉落轻母=长岛、博格、兰利、突击者、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
