混沌之夜
7–1-增援拦截
|掉落驱逐=拉菲、标枪、Z23、时雨、格里德利、弗莱彻、白露、卡辛、唐斯、彗星、新月、小天鹅
|掉落轻巡=柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡=肯特、萨福克、彭萨科拉
|掉落战巡
|掉落战列=伊丽莎白女王、内华达、俄克拉荷马
|掉落航母
|掉落轻母=博格、兰利、突击者、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
7–2-短兵相接
|掉落驱逐=拉菲、标枪、Z23、雷、电、卡辛、唐斯、彗星、新月、小天鹅
|掉落轻巡=亚特兰大、朱诺、柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡=北安普敦、芝加哥、彭萨科拉
|掉落战巡
|掉落战列=内华达、俄克拉荷马
|掉落航母=约克城、大黄蜂
|掉落轻母=长岛、博格、兰利、突击者、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
7–3-措手不及
|掉落驱逐=拉菲、标枪、Z23、西姆斯、哈曼、克雷文、麦考尔、奥利克、富特、斯彭斯
|掉落轻巡=五十铃、阿瑞托莎、加拉蒂亚、柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡=彭萨科拉
|掉落战巡=声望、反击
|掉落战列=内华达、俄克拉荷马
|掉落航母
|掉落轻母=博格、兰利、突击者、竞技神
|掉落重炮
|掉落维修=女灶神
|掉落潜艇
7–4-预料外的混乱
|掉落驱逐=拉菲、标枪、Z23、西姆斯、哈曼、阳炎、奥利克、富特、斯彭斯
|掉落轻巡=阿瑞托莎、加拉蒂亚、奥马哈、罗利、柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡=彭萨科拉
|掉落战巡
|掉落战列=内华达、俄克拉荷马
|掉落航母
|掉落轻母=凤翔、博格、兰利、突击者、竞技神
|掉落重炮=黑暗界、恐怖
|掉落维修
|掉落潜艇
SOS-海域救援
|掉落驱逐=拉菲、标枪、Z23、西姆斯、哈曼、阳炎、奥利克、富特、斯彭斯
|掉落轻巡=阿瑞托莎、加拉蒂亚、奥马哈、罗利、柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡=彭萨科拉
|掉落战巡
|掉落战列=内华达、俄克拉荷马
|掉落航母
|掉落轻母=凤翔、博格、兰利、突击者、竞技神
|掉落重炮=黑暗界、恐怖
|掉落维修
|掉落潜艇
