科曼多尔海战
8–1-寒风
|掉落驱逐=拉菲、标枪、Z23、电、卡辛、唐斯、克雷文、麦考尔、小猎兔犬、大斗犬、狐提
|掉落轻巡=亚特兰大、朱诺、阿武隈、利安得
|掉落重巡=约克、肯特、萨福克
|掉落战巡
|掉落战列=宾夕法尼亚、内华达、俄克拉荷马
|掉落航母
|掉落轻母=博格、竞技神、兰利、突击者
|掉落重炮
|掉落维修
|掉落潜艇
8–2-北极圈的拂晓
|掉落驱逐=拉菲、标枪、Z23、Z1、雷、卡辛、唐斯、克雷文、麦考尔、小猎兔犬、大斗犬、狐提
|掉落轻巡=阿基里斯、阿贾克斯、阿武隈、利安得
|掉落重巡=印第安纳波利斯、诺福克
|掉落战巡
|掉落战列=田纳西、加利福尼亚、内华达、俄克拉荷马
|掉落航母
|掉落轻母=博格、竞技神、兰利、突击者
|掉落重炮
|掉落维修
|掉落潜艇
8–3-冰海怒涛
|掉落驱逐=拉菲、标枪、Z23、查尔斯·奥斯本、萤火虫、卡辛、唐斯、克雷文、麦考尔、小猎兔犬、大斗犬、狐提
|掉落轻巡=布鲁克林、菲尼克斯、阿瑞托莎、加拉蒂亚、阿武隈、利安得
|掉落重巡=那智、盐湖城
|掉落战巡
|掉落战列=内华达、俄克拉荷马
|掉落航母
|掉落轻母=博格、竞技神、兰利
|掉落重炮
|掉落维修
|掉落潜艇
8–4-被遗忘的战场
|掉落驱逐=拉菲、标枪、Z23、卡辛、唐斯、克雷文、麦考尔、小猎兔犬、大斗犬
|掉落轻巡=里士满、阿武隈、利安得
|掉落重巡=摩耶、约克、那智、什罗普郡、肯特、萨福克、诺福克、盐湖城
|掉落战巡
|掉落战列=内华达、俄克拉荷马
|掉落航母
|掉落轻母=博格、竞技神、兰利、突击者
|掉落重炮
|掉落维修
|掉落潜艇
SOS-海域救援
|掉落驱逐=拉菲、标枪、Z23、卡辛、唐斯、克雷文、麦考尔、小猎兔犬、大斗犬
|掉落轻巡=里士满、阿武隈、利安得
|掉落重巡=摩耶、约克、那智、什罗普郡、肯特、萨福克、诺福克、盐湖城
|掉落战巡
|掉落战列=内华达、俄克拉荷马
|掉落航母
|掉落轻母=博格、竞技神、兰利、突击者
|掉落重炮
|掉落维修
|掉落潜艇
