光与影的鸢尾之华-前篇|| ||CHAPTER EX||E.X.
A1-暴雨前夕
|掉落驱逐=查尔斯·奥斯本、时雨、格里德利、女将、命运女神、卡辛、唐斯、克雷文、麦考尔、彗星、新月、小天鹅、狐提
|掉落轻巡=柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡
|掉落战巡
|掉落战列=宾夕法尼亚、内华达、俄克拉荷马
|掉落航母
|掉落轻母=长岛、兰利、突击者
|掉落重炮
|掉落维修
|掉落潜艇
A2-突破
|掉落驱逐=萤火虫、Z1、格里德利、女将、命运女神、卡辛、唐斯、克雷文、麦考尔、彗星、新月、小天鹅、狐提
|掉落轻巡=柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡
|掉落战巡
|掉落战列=宾夕法尼亚、内华达、俄克拉荷马
|掉落航母
|掉落轻母=长岛、兰利、突击者
|掉落重炮
|掉落维修
|掉落潜艇
A3-弩炮行动
|掉落驱逐=勒马尔、格里德利、女将、命运女神、卡辛、唐斯、克雷文、麦考尔、彗星、新月、小天鹅、狐提
|掉落轻巡=柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡=约克
|掉落战巡
|掉落战列=宾夕法尼亚、内华达、俄克拉荷马
|掉落航母
|掉落轻母=长岛、兰利、突击者
|掉落重炮
|掉落维修
|掉落潜艇
