共鸣的Passion|| ||CHAPTER EX||E.X.
SP1-全新的规则
|掉落驱逐=拉菲、哈曼、弗莱彻、克雷文、小天鹅
|掉落轻巡=阿贾克斯、阿瑞托莎、奥马哈、里士满、柯尼斯堡、阿武隈、科隆
|掉落重巡=彭萨科拉、盐湖城、青叶、古鹰
|掉落战巡
|掉落战列=伊丽莎白女王、山城、内华达、俄克拉荷马
|掉落航母
|掉落轻母=兰利、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
SP2-各自的心思
|掉落驱逐=标枪、哈曼、弗莱彻、克雷文、小天鹅
|掉落轻巡=阿贾克斯、阿瑞托莎、奥马哈、里士满、柯尼斯堡、阿武隈、科隆
|掉落重巡=彭萨科拉、盐湖城、青叶、古鹰
|掉落战巡
|掉落战列=山城、内华达、俄克拉荷马
|掉落航母
|掉落轻母=独角兽、兰利、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
SP3-分组的结果
|掉落驱逐=哈曼、弗莱彻、克雷文、小天鹅
|掉落轻巡=克利夫兰、阿贾克斯、阿瑞托莎、奥马哈、里士满、柯尼斯堡、阿武隈、科隆
|掉落重巡=彭萨科拉、盐湖城、青叶、古鹰
|掉落战巡=敦刻尔克
|掉落战列=山城、内华达、俄克拉荷马
|掉落航母
|掉落轻母=兰利、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
SP4-闪耀的舞台
|掉落驱逐=吹雪、哈曼、弗莱彻、克雷文、小天鹅
|掉落轻巡=阿贾克斯、阿瑞托莎、奥马哈、里士满、柯尼斯堡、阿武隈、科隆
|掉落重巡=伦敦、彭萨科拉、盐湖城、青叶、古鹰
|掉落战巡
|掉落战列=山城、内华达、俄克拉荷马
|掉落航母
|掉落轻母=兰利、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
SP5-最后的大奖
|掉落驱逐=哈曼、弗莱彻、克雷文、小天鹅
|掉落轻巡=海伦娜、阿贾克斯、阿瑞托莎、奥马哈、里士满、柯尼斯堡、阿武隈、科隆
|掉落重巡=欧根亲王(μ兵装)、彭萨科拉、盐湖城、青叶、古鹰
|掉落战巡
|掉落战列=山城、内华达、俄克拉荷马
|掉落航母=萨拉托加
|掉落轻母=竞技神
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
