响彻于天穹之歌·下篇|| ||CHAPTER EX||E.X.
D1-帷幕之战·上
|掉落驱逐=萤火虫、弗莱彻、新月、大斗犬、彗星、斯彭斯、奥利克、麦考尔、小天鹅、克雷文
|掉落轻巡=菲尼克斯、奥马哈、利安得
|掉落重巡=芝加哥、彭萨科拉
|掉落战巡
|掉落战列=伊丽莎白女王、加利福尼亚、田纳西、内华达
|掉落航母
|掉落轻母=突击者、博格、兰利
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
D2-帷幕之战·中
|掉落驱逐=弗莱彻、新月、大斗犬、彗星、斯彭斯、奥利克、麦考尔、小天鹅、克雷文
|掉落轻巡=菲尼克斯、奥马哈、利安得
|掉落重巡=休斯敦、芝加哥、彭萨科拉
|掉落战巡
|掉落战列=加利福尼亚、田纳西、内华达
|掉落航母=大黄蜂
|掉落轻母=突击者、博格、兰利
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
D3-帷幕之战·下
|掉落驱逐=弗莱彻、新月、大斗犬、彗星、斯彭斯、奥利克、麦考尔、小天鹅、克雷文
|掉落轻巡=克利夫兰·META、圣路易斯、菲尼克斯、奥马哈、利安得
|掉落重巡=芝加哥、彭萨科拉
|掉落战巡
|掉落战列=加利福尼亚、田纳西、内华达
|掉落航母=约克城
|掉落轻母=突击者、博格、兰利
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
