坠落之翼-后篇|| ||CHAPTER EX||E.X.
D1-信号|～Signal～
|掉落驱逐=奥利克、富特、斯彭斯、小猎兔犬、大斗犬
|掉落轻巡=奥马哈、罗利、柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡=彭萨科拉、盐湖城
|掉落战巡=反击
|掉落战列=西弗吉尼亚、亚利桑那、伊丽莎白女王、宾夕法尼亚、田纳西、加利福尼亚
|掉落航母=胡蜂
|掉落轻母=长岛、博格、兰利、突击者
|掉落重炮
|掉落维修
|掉落潜艇
D2-危机|～Crisis～
|掉落驱逐=奥利克、富特、斯彭斯、小猎兔犬、大斗犬
|掉落轻巡=奥马哈、罗利、柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡=彭萨科拉、盐湖城
|掉落战巡=反击
|掉落战列=西弗吉尼亚、宾夕法尼亚、田纳西、加利福尼亚
|掉落航母=列克星敦、萨拉托加、胡蜂
|掉落轻母=长岛、博格、兰利、突击者
|掉落重炮
|掉落维修
|掉落潜艇
D3-决战|～Decisive～
|掉落驱逐=奥利克、富特、斯彭斯、小猎兔犬、大斗犬
|掉落轻巡=奥马哈、罗利、柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡=彭萨科拉、盐湖城
|掉落战巡=反击
|掉落战列=北卡罗来纳、西弗吉尼亚、宾夕法尼亚、田纳西、加利福尼亚
|掉落航母=约克城、大黄蜂
|掉落轻母=长岛、博格、兰利、突击者
|掉落重炮
|掉落维修
|掉落潜艇
