星光下的余晖·上篇|| ||CHAPTER EX||E.X.
A1-唐突的旅程
|掉落驱逐=时雨、Z1、格里德利、小猎兔犬、富特、彗星、新月、克雷文、不知火、Z20
|掉落轻巡=奥马哈、科隆
|掉落重巡=北安普敦、青叶、衣笠
|掉落战巡
|掉落战列=山城、俄克拉荷马
|掉落航母
|掉落轻母=祥凤、长岛、突击者、博格、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
A2-天外之兽
|掉落驱逐=格里德利、小猎兔犬、富特、彗星、新月、克雷文、不知火、Z20
|掉落轻巡=海伦娜、奥马哈、科隆
|掉落重巡=休斯敦、北安普敦、青叶、衣笠
|掉落战巡
|掉落战列=山城、俄克拉荷马
|掉落航母
|掉落轻母=祥凤、长岛、突击者、博格、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
A3-永恒之星
|掉落驱逐=格里德利、小猎兔犬、富特、彗星、新月、克雷文、不知火、Z20
|掉落轻巡=奥马哈、科隆
|掉落重巡=希佩尔海军上将、印第安纳波利斯、北安普敦、青叶、衣笠
|掉落战巡
|掉落战列=山城、俄克拉荷马
|掉落航母
|掉落轻母=祥凤、长岛、突击者、博格、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
