秘密遗迹群岛·采集地|| ||CHAPTER EX||E.X.
TH1-起始之地
|掉落驱逐=时雨、Z1、哈曼、弗莱彻、克雷文、小天鹅
|掉落轻巡=阿贾克斯、阿瑞托莎、奥马哈、里士满、柯尼斯堡、阿武隈、科隆
|掉落重巡=彭萨科拉、盐湖城、青叶、古鹰
|掉落战巡
|掉落战列=伊势、内华达、俄克拉荷马
|掉落航母
|掉落轻母=科洛蒂娅·巴兰茨、兰利、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
TH2-异界之森
|掉落驱逐=哈曼、弗莱彻、克雷文、小天鹅
|掉落轻巡=海伦娜、克利夫兰、阿贾克斯、阿瑞托莎、奥马哈、里士满、柯尼斯堡、阿武隈、科隆
|掉落重巡=彭萨科拉、盐湖城、青叶、古鹰
|掉落战巡
|掉落战列=伊势、内华达、俄克拉荷马
|掉落航母
|掉落轻母=科洛蒂娅·巴兰茨、兰利、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
TH3-争斗之城
|掉落驱逐=哈曼、弗莱彻、克雷文、小天鹅
|掉落轻巡=阿贾克斯、阿瑞托莎、奥马哈、里士满、柯尼斯堡、阿武隈、科隆
|掉落重巡=德意志、斯佩伯爵、彭萨科拉、盐湖城、青叶、古鹰
|掉落战巡
|掉落战列=伊势、内华达、俄克拉荷马
|掉落航母
|掉落轻母=科洛蒂娅·巴兰茨、兰利、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
TH4-失落之都
|掉落驱逐=哈曼、弗莱彻、克雷文、小天鹅
|掉落轻巡=阿贾克斯、阿瑞托莎、奥马哈、里士满、柯尼斯堡、阿武隈、科隆
|掉落重巡=彭萨科拉、盐湖城、青叶、古鹰
|掉落战巡
|掉落战列=伊势、内华达、俄克拉荷马
|掉落航母=苍龙、飞龙
|掉落轻母=科洛蒂娅·巴兰茨、兰利、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
TH5-核心之所
|掉落驱逐=哈曼、弗莱彻、克雷文、小天鹅
|掉落轻巡=阿贾克斯、阿瑞托莎、奥马哈、里士满、柯尼斯堡、阿武隈、科隆
|掉落重巡=彭萨科拉、盐湖城、青叶、古鹰
|掉落战巡
|掉落战列=伊丽莎白女王、亚利桑那、伊势、内华达、俄克拉荷马
|掉落航母
|掉落轻母=科洛蒂娅·巴兰茨、兰利、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
