苍红的回响·下篇|| ||CHAPTER EX||E.X.
D1-落日下的追寻
|掉落驱逐=时雨、萤火虫、奥利克、富特、斯彭斯、彗星、新月、小天鹅
|掉落轻巡=阿瑞托莎、加拉蒂亚、利安得、柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡=北安普敦、芝加哥、彭萨科拉、盐湖城
|掉落战巡=反击
|掉落战列
|掉落航母
|掉落轻母=兰利、突击者、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
D2-落幕后的曙光
|掉落驱逐=旗风、奥利克、富特、斯彭斯、彗星、新月、小天鹅
|掉落轻巡=阿瑞托莎、加拉蒂亚、利安得、柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡=约克、北安普敦、芝加哥、彭萨科拉、盐湖城
|掉落战巡=反击
|掉落战列
|掉落航母
|掉落轻母=兰利、突击者、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
D3-被继承的意志
|掉落驱逐=奥利克、富特、斯彭斯、彗星、新月、小天鹅
|掉落轻巡=阿瑞托莎、加拉蒂亚、利安得、柯尼斯堡、卡尔斯鲁厄、科隆
|掉落重巡=北安普敦、芝加哥、彭萨科拉、盐湖城
|掉落战巡=反击
|掉落战列=加贺、纳尔逊
|掉落航母
|掉落轻母=兰利、突击者、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
