起舞于天原之上·上篇|| ||CHAPTER EX||E.X.
A1-踏云而行
|掉落驱逐=萤火虫、命运女神、彗星、小天鹅、唐斯、富特、新月、大斗犬、麦考尔、卡辛、不知火
|掉落轻巡=布鲁克林、阿贾克斯、阿武隈
|掉落重巡=印第安纳波利斯、青叶
|掉落战巡
|掉落战列=加利福尼亚、俄克拉荷马
|掉落航母
|掉落轻母=祥凤、博格、突击者、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
A2-天原筑梦
|掉落驱逐=命运女神、彗星、小天鹅、唐斯、富特、新月、大斗犬、麦考尔、卡辛、不知火
|掉落轻巡=布鲁克林、阿贾克斯、阿武隈
|掉落重巡=伦敦、青叶
|掉落战巡
|掉落战列=伊丽莎白女王、加利福尼亚、俄克拉荷马
|掉落航母
|掉落轻母=祥凤、博格、突击者、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
A3-全域入侵
|掉落驱逐=命运女神、彗星、小天鹅、唐斯、富特、新月、大斗犬、麦考尔、卡辛、不知火
|掉落轻巡=克利夫兰、布鲁克林、阿贾克斯、阿武隈
|掉落重巡=青叶
|掉落战巡
|掉落战列=加利福尼亚、俄克拉荷马
|掉落航母=苍龙
|掉落轻母=祥凤、博格、突击者、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
