起舞于天原之上·下篇|| ||CHAPTER EX||E.X.
D1-梦魇残片·其一
|掉落驱逐=弗莱彻、阳炎、格里德利、小猎兔犬、麦考尔、克雷文、唐斯、奥利克、富特、不知火
|掉落轻巡=爱丁堡、阿瑞托莎、罗利、阿武隈
|掉落重巡=北安普敦、加古、古鹰
|掉落战巡=声望
|掉落战列=内华达、俄克拉荷马
|掉落航母
|掉落轻母=突击者、兰利
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
D2-梦魇残片·其二
|掉落驱逐=吸血鬼、弗莱彻、阳炎、格里德利、小猎兔犬、麦考尔、克雷文、唐斯、奥利克、富特、不知火
|掉落轻巡=阿瑞托莎、罗利、阿武隈
|掉落重巡=北安普敦、加古、古鹰
|掉落战巡
|掉落战列=纳尔逊、内华达、俄克拉荷马
|掉落航母
|掉落轻母=突击者、兰利
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
D3-梦魇残片·其三
|掉落驱逐=时雨、弗莱彻、阳炎、格里德利、小猎兔犬、麦考尔、克雷文、唐斯、奥利克、富特、不知火
|掉落轻巡=阿瑞托莎、罗利、阿武隈
|掉落重巡=浅间、约克、北安普敦、加古、古鹰
|掉落战巡
|掉落战列=内华达、俄克拉荷马
|掉落航母
|掉落轻母=突击者、兰利
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
