起舞于天原之上·下篇|| ||CHAPTER EX||E.X.
B1-梦魇残片·其一
|掉落驱逐=命运女神、小猎兔犬、麦考尔、克雷文、唐斯、奥利克、富特、不知火
|掉落轻巡=爱丁堡、布鲁克林、阿贾克斯、罗利、阿武隈
|掉落重巡=加古、古鹰
|掉落战巡=声望
|掉落战列=加利福尼亚、内华达、俄克拉荷马
|掉落航母
|掉落轻母=祥凤、突击者、兰利
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
B2-梦魇残片·其二
|掉落驱逐=吸血鬼、命运女神、小猎兔犬、麦考尔、克雷文、唐斯、奥利克、富特、不知火
|掉落轻巡=布鲁克林、阿贾克斯、罗利、阿武隈
|掉落重巡=加古、古鹰
|掉落战巡
|掉落战列=纳尔逊、加利福尼亚、内华达、俄克拉荷马
|掉落航母
|掉落轻母=祥凤、突击者、兰利
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
B3-梦魇残片·其三
|掉落驱逐=时雨、命运女神、小猎兔犬、麦考尔、克雷文、唐斯、奥利克、富特、不知火
|掉落轻巡=布鲁克林、阿贾克斯、罗利、阿武隈
|掉落重巡=浅间、约克、加古、古鹰
|掉落战巡
|掉落战列=加利福尼亚、内华达、俄克拉荷马
|掉落航母
|掉落轻母=祥凤、突击者、兰利
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
