远汇点作战|| ||CHAPTER EX||E.X.
SP1-入场|~Opening~
|掉落驱逐=Z2、查尔斯·奥斯本、命运女神、撒切尔、弗莱彻、斯彭斯、小猎兔犬、彗星、卡辛、麦考尔、Z21
|掉落轻巡=里士满、科隆、柯尼斯堡
|掉落重巡=盐湖城、彭萨科拉
|掉落战巡
|掉落战列=宾夕法尼亚、内华达、俄克拉荷马
|掉落航母
|掉落轻母=长岛、突击者、兰利
|掉落重炮
|掉落维修
|掉落潜艇
SP2-推进|~Marching~
|掉落驱逐=命运女神、撒切尔、弗莱彻、斯彭斯、小猎兔犬、彗星、卡辛、麦考尔、Z21
|掉落轻巡=里士满、科隆、柯尼斯堡
|掉落重巡=盐湖城、彭萨科拉
|掉落战巡
|掉落战列=宾夕法尼亚、内华达、俄克拉荷马
|掉落航母=萨拉托加
|掉落轻母=独角兽、长岛、突击者、兰利
|掉落重炮
|掉落维修
|掉落潜艇
SP3-相持|~Complexing~
|掉落驱逐=命运女神、撒切尔、弗莱彻、斯彭斯、小猎兔犬、彗星、卡辛、麦考尔、Z21
|掉落轻巡=里士满、科隆、柯尼斯堡
|掉落重巡=盐湖城、彭萨科拉
|掉落战巡
|掉落战列=宾夕法尼亚、内华达、俄克拉荷马
|掉落航母=约克城
|掉落轻母=长岛、突击者、兰利
|掉落重炮
|掉落维修=女灶神
|掉落潜艇
SP4-决战|~Ending~
|掉落驱逐=Z1、命运女神、撒切尔、弗莱彻、斯彭斯、小猎兔犬、彗星、卡辛、麦考尔、Z21
|掉落轻巡=里士满、科隆、柯尼斯堡
|掉落重巡=布吕歇尔、盐湖城、彭萨科拉
|掉落战巡=声望
|掉落战列=宾夕法尼亚、内华达、俄克拉荷马
|掉落航母
|掉落轻母=长岛、突击者、兰利
|掉落重炮
|掉落维修
|掉落潜艇
