须臾望月抄·下篇|| ||CHAPTER EX||E.X.
D1-无形之息
|掉落驱逐=Z23、狐提、富特、小猎兔犬、唐斯、麦考尔、不知火
|掉落轻巡=朱诺、奥马哈、里士满、罗利
|掉落重巡=诺福克、芝加哥、衣笠、青叶
|掉落战巡
|掉落战列=加利福尼亚、俄克拉荷马、内华达
|掉落航母=苍龙
|掉落轻母=祥凤、突击者、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
D2-月色庭院
|掉落驱逐=时雨、狐提、富特、小猎兔犬、唐斯、麦考尔、不知火
|掉落轻巡=朱诺、奥马哈、里士满、罗利
|掉落重巡=伦敦、诺福克、芝加哥、衣笠、青叶
|掉落战巡
|掉落战列=加利福尼亚、俄克拉荷马、内华达
|掉落航母
|掉落轻母=祥凤、突击者、竞技神
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
D3-灾厄的半影
|掉落驱逐=初月、狐提、富特、小猎兔犬、唐斯、麦考尔、不知火
|掉落轻巡=朱诺、奥马哈、里士满、罗利
|掉落重巡=诺福克、芝加哥、衣笠、青叶
|掉落战巡
|掉落战列=加利福尼亚、俄克拉荷马、内华达
|掉落航母=列克星敦
|掉落轻母=祥凤、突击者、竞技神
|掉落重炮
|掉落维修=女灶神
|掉落潜艇
|掉落风帆
