高塔上的蔷薇·上篇|| ||CHAPTER EX||E.X.
C1-里程碑
|掉落驱逐=天后、克雷文、新月、狐提、小猎兔犬、富特、麦考尔、彗星
|掉落轻巡=加拉蒂亚、阿基里斯、利安得、罗利
|掉落重巡=约克、伦敦、肯特、盐湖城、彭萨科拉
|掉落战巡
|掉落战列=田纳西、内华达
|掉落航母
|掉落轻母=突击者、博格、兰利
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
C2-车与船
|掉落驱逐=萤火虫、天后、克雷文、新月、狐提、小猎兔犬、富特、麦考尔、彗星
|掉落轻巡=加拉蒂亚、阿基里斯、利安得、罗利
|掉落重巡=肯特、盐湖城、彭萨科拉
|掉落战巡
|掉落战列=纳尔逊、田纳西、内华达
|掉落航母
|掉落轻母=突击者、博格、兰利
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
C3-越界洞察
|掉落驱逐=吸血鬼、天后、克雷文、新月、狐提、小猎兔犬、富特、麦考尔、彗星
|掉落轻巡=加拉蒂亚、阿基里斯、利安得、罗利
|掉落重巡=肯特、盐湖城、彭萨科拉
|掉落战巡
|掉落战列=伊丽莎白女王、田纳西、内华达
|掉落航母
|掉落轻母=突击者、博格、兰利
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
