高塔上的蔷薇·上篇|| ||CHAPTER EX||E.X.
A1-里程碑
|掉落驱逐=女将、哈曼、克雷文、新月、狐提、小猎兔犬、富特、麦考尔、彗星
|掉落轻巡=朱诺、菲尼克斯、利安得、罗利
|掉落重巡=约克、伦敦、盐湖城、彭萨科拉
|掉落战巡
|掉落战列=宾夕法尼亚、内华达
|掉落航母
|掉落轻母=突击者、博格、兰利
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
A2-车与船
|掉落驱逐=萤火虫、女将、哈曼、克雷文、新月、狐提、小猎兔犬、富特、麦考尔、彗星
|掉落轻巡=朱诺、菲尼克斯、利安得、罗利
|掉落重巡=盐湖城、彭萨科拉
|掉落战巡
|掉落战列=纳尔逊、宾夕法尼亚、内华达
|掉落航母
|掉落轻母=突击者、博格、兰利
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
A3-越界洞察
|掉落驱逐=吸血鬼、女将、哈曼、克雷文、新月、狐提、小猎兔犬、富特、麦考尔、彗星
|掉落轻巡=朱诺、菲尼克斯、利安得、罗利
|掉落重巡=盐湖城、彭萨科拉
|掉落战巡
|掉落战列=伊丽莎白女王、宾夕法尼亚、内华达
|掉落航母
|掉落轻母=突击者、博格、兰利
|掉落重炮
|掉落维修
|掉落潜艇
|掉落风帆
